"","genus","species","GrowthT","Rep","a_root_area","b_root_area","c_root_area","RMSE_root_area","r2_root_area","a_root_mass","b_root_mass","c_root_mass","RMSE_root_mass","r2_root_mass"
"data","Betula","alleghaniensis","15","3","-0.929087379563233","0.0967843254114794","-0.00173565588062477","0.00510458554694548","0.998693704163005","-5.57237736942962","0.0964621885062047","-0.00173168558579529","0.00568460065004147","0.998380857630808"
"data","Betula","alleghaniensis","20","1","-4.82401467957415","0.384594049061364","-0.00657791744116937","0.345041188791165","0.51561990550246","-9.41694869054832","0.386228260771602","-0.00660668738487503","0.347591205458496","0.51344308149681"
"data","Betula","alleghaniensis","20","2","-1.78861780318513","0.198127662915153","-0.00344569623712824","0.247507900350559","0.319796083183417","-6.77318561551984","0.198206001310544","-0.00344494273543063","0.247685966385355","0.318084948538529"
"data","Betula","alleghaniensis","20","3","-1.2363818825827","0.123203955834458","-0.00273057400267423","0.184622847109437","0.791681596210973","-5.58016134467858","0.123535476443158","-0.00273983652968674","0.182929527644716","0.796915716854196"
"data","Betula","alleghaniensis","30","1","-0.783657593535557","0.0666643305162517","-0.00111600224077323","0.053004976854591","0.582029558203373","-5.28701104964574","0.0667716448690744","-0.00112035211324915","0.0525068653634634","0.589674794802163"
"data","Betula","alleghaniensis","30","2","-1.46396480595199","0.167110773820106","-0.00342605946080925","0.268572370657581","0.576063185988385","-5.76455688135489","0.167747947082972","-0.00343563883691254","0.269687202220362","0.573226850407074"
"data","Betula","alleghaniensis","30","3","0.49691666293861","0.030894208678684","-0.00170503586437716","0.0308892058561816","0.99312935170197","-4.15263224967345","0.0315331462109046","-0.00172107769378877","0.0308172435695251","0.993216881915023"
"data","Betula","alleghaniensis","35","1","-2.00316902858017","0.0502391652192812","4.38872601298469e-05","0.238002963725987","0.722159451565891","-6.54538674091952","0.0528230247732273","2.67799368658301e-07","0.234819152867961","0.728803056902555"
"data","Cucumis","sativa","15","1","0.115148045633906","0.00581741134144765","-0.000243788554975216","0.0411409191954935","0.720233703752857","-4.41758266491875","0.00498961154042936","-0.000230030962541765","0.0436176470458967","0.689801250852033"
"data","Cucumis","sativa","15","2","-2.35368787462654","0.226538490483381","-0.00478862726080106","0.0899169843740335","0.921849542284123","-6.75001627171882","0.226397475850711","-0.00479691713212131","0.0880138947779719","0.926293246034428"
"data","Cucumis","sativa","15","3","-2.53841925108391","0.228481301850965","-0.00359354153521926","0.0835733154312776","0.89355542212828","-7.06764552030103","0.22918845996822","-0.00360492357420342","0.084182500105828","0.892651753806117"
